Curb-weight,Engine Size,Horsepower,City-mpg,Highway-mpg,Price,Target
2094,98,70,38,47,7738,toyota
2122,98,70,28,34,8358,toyota
2140,98,70,28,34,9258,toyota
2169,98,70,29,34,8058,toyota
2204,98,70,29,34,8238,toyota
2265,98,112,26,29,9298,toyota
2300,98,112,26,29,9538,toyota
2540,146,116,24,30,8449,toyota
2536,146,116,24,30,9639,toyota
2551,146,116,24,30,9989,toyota
2679,146,116,24,30,11199,toyota
2714,146,116,24,30,11549,toyota
2975,146,116,24,30,17669,toyota
2326,122,92,29,34,8948,toyota
2480,110,73,30,33,10698,toyota
2414,122,92,27,32,9988,toyota
2414,122,92,27,32,10898,toyota
2458,122,92,27,32,11248,toyota
2976,171,161,20,24,16558,toyota
3016,171,161,19,24,15998,toyota
3131,171,156,20,24,15690,toyota
3151,161,156,19,24,15750,toyota
2261,97,52,37,46,7775,volkswagen
2209,109,85,27,34,7975,volkswagen
2264,97,52,37,46,7995,volkswagen
2212,109,85,27,34,8195,volkswagen
2275,109,85,27,34,8495,volkswagen
2319,97,68,37,42,9495,volkswagen
2300,109,100,26,32,9995,volkswagen
2254,109,90,24,29,11595,volkswagen
2221,109,90,24,29,9980,volkswagen
2661,136,110,19,24,13295,volkswagen
2579,97,68,33,38,13845,volkswagen
2563,109,88,25,31,12290,volkswagen
2912,141,114,23,28,12940,volvo
3034,141,114,23,28,13415,volvo
2935,141,114,24,28,15985,volvo
3042,141,114,24,28,16515,volvo
3045,130,162,17,22,18420,volvo
3157,130,162,17,22,18950,volvo
2952,141,114,23,28,16845,volvo
3049,141,160,19,25,19045,volvo
3012,173,134,18,23,21485,volvo
3217,145,106,26,27,22470,volvo
3062,141,114,19,25,22625,volvo
